SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,player_id,player_name
22024,1630173,0022400765,"Feb 11, 2025",NYK @ IND,W,33,3,8,0.375,0,1,0.0,3,4,0.75,5,7,12,2,0,1,1,0,9,-2,1,1630173,Precious Achiuwa
22024,1630173,0022400748,"Feb 08, 2025",NYK vs. BOS,L,33,1,4,0.25,0,1,0.0,1,2,0.5,2,2,4,2,0,0,0,1,3,-37,1,1630173,Precious Achiuwa
22024,1630173,0022400713,"Feb 04, 2025",NYK @ TOR,W,36,7,11,0.636,1,3,0.333,2,2,1.0,6,2,8,2,3,2,3,6,17,-14,1,1630173,Precious Achiuwa
22024,1630173,0022400702,"Feb 03, 2025",NYK vs. HOU,W,34,2,3,0.667,0,0,0.0,3,4,0.75,3,6,9,0,2,0,0,1,7,4,1,1630173,Precious Achiuwa
22024,1630173,0022400692,"Feb 01, 2025",NYK vs. LAL,L,29,6,12,0.5,0,1,0.0,3,3,1.0,7,8,15,3,1,0,1,3,15,-5,1,1630173,Precious Achiuwa
22024,1630173,0022400668,"Jan 29, 2025",NYK vs. DEN,W,26,4,8,0.5,0,0,0.0,0,0,0.0,1,2,3,0,1,0,1,2,8,4,1,1630173,Precious Achiuwa
22024,1630173,0022400653,"Jan 27, 2025",NYK vs. MEM,W,20,6,9,0.667,1,1,1.0,1,2,0.5,2,1,3,1,4,2,1,2,14,9,1,1630173,Precious Achiuwa
22024,1630173,0022400641,"Jan 25, 2025",NYK vs. SAC,W,18,2,3,0.667,0,0,0.0,0,0,0.0,1,4,5,0,2,1,0,0,4,27,1,1630173,Precious Achiuwa
22024,1630173,0022400606,"Jan 21, 2025",NYK @ BKN,W,18,5,7,0.714,1,2,0.5,0,0,0.0,0,4,4,1,1,0,1,2,11,-5,1,1630173,Precious Achiuwa
22024,1630173,0022400602,"Jan 20, 2025",NYK vs. ATL,W,17,1,2,0.5,0,0,0.0,0,0,0.0,2,3,5,2,2,0,1,1,2,4,1,1630173,Precious Achiuwa
22024,1630173,0022400578,"Jan 17, 2025",NYK vs. MIN,L,36,3,10,0.3,0,0,0.0,0,0,0.0,4,5,9,3,1,3,0,3,6,-3,1,1630173,Precious Achiuwa
22024,1630173,0022400561,"Jan 15, 2025",NYK @ PHI,W,30,4,6,0.667,0,0,0.0,2,4,0.5,2,4,6,1,1,3,1,2,10,9,1,1630173,Precious Achiuwa
22024,1630173,0022400549,"Jan 13, 2025",NYK vs. DET,L,10,0,2,0.0,0,0,0.0,0,0,0.0,3,1,4,1,1,0,0,1,0,-8,1,1630173,Precious Achiuwa
22024,1630173,0022400539,"Jan 12, 2025",NYK vs. MIL,W,15,2,2,1.0,0,0,0.0,0,0,0.0,0,3,3,1,2,0,0,3,4,8,1,1630173,Precious Achiuwa
22024,1630173,0022400529,"Jan 10, 2025",NYK vs. OKC,L,6,1,1,1.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,1,2,-16,1,1630173,Precious Achiuwa
22024,1630173,0022400511,"Jan 08, 2025",NYK vs. TOR,W,15,3,5,0.6,0,1,0.0,0,0,0.0,0,4,4,1,0,1,0,0,6,-2,1,1630173,Precious Achiuwa
22024,1630173,0022400496,"Jan 06, 2025",NYK vs. ORL,L,22,5,6,0.833,0,0,0.0,0,0,0.0,1,1,2,0,0,0,1,3,10,-14,1,1630173,Precious Achiuwa
22024,1630173,0022400482,"Jan 04, 2025",NYK @ CHI,L,27,2,2,1.0,0,0,0.0,1,2,0.5,2,3,5,0,1,0,1,1,5,-3,1,1630173,Precious Achiuwa
22024,1630173,0022400473,"Jan 03, 2025",NYK @ OKC,L,8,1,4,0.25,0,1,0.0,1,2,0.5,2,3,5,0,0,0,1,0,3,-3,1,1630173,Precious Achiuwa
22024,1630173,0022400458,"Jan 01, 2025",NYK vs. UTA,W,13,5,8,0.625,1,1,1.0,1,2,0.5,0,3,3,0,1,1,0,1,12,15,1,1630173,Precious Achiuwa
22024,1630173,0022400443,"Dec 30, 2024",NYK @ WAS,W,19,2,2,1.0,1,1,1.0,0,0,0.0,0,4,4,0,0,1,1,2,5,-2,1,1630173,Precious Achiuwa
22024,1630173,0022400429,"Dec 28, 2024",NYK @ WAS,W,19,1,3,0.333,0,1,0.0,1,1,1.0,2,5,7,2,0,0,2,1,3,6,1,1630173,Precious Achiuwa
22024,1630173,0022400419,"Dec 27, 2024",NYK @ ORL,W,21,2,2,1.0,0,0,0.0,2,4,0.5,3,3,6,1,1,1,3,1,6,7,1,1630173,Precious Achiuwa
22024,1630173,0022400405,"Dec 25, 2024",NYK vs. SAS,W,20,2,5,0.4,1,3,0.333,0,0,0.0,4,6,10,1,1,1,0,0,5,14,1,1630173,Precious Achiuwa
22024,1630173,0022400397,"Dec 23, 2024",NYK vs. TOR,W,22,2,7,0.286,1,2,0.5,0,0,0.0,2,5,7,2,1,1,1,3,5,-4,1,1630173,Precious Achiuwa
22024,1630173,0022400384,"Dec 21, 2024",NYK @ NOP,W,12,1,4,0.25,0,0,0.0,0,0,0.0,5,2,7,1,0,1,1,2,2,-13,1,1630173,Precious Achiuwa
22024,1630173,0022400367,"Dec 19, 2024",NYK @ MIN,W,28,6,9,0.667,1,1,1.0,0,0,0.0,3,7,10,2,1,0,1,2,13,-4,1,1630173,Precious Achiuwa
22024,1630173,0022401227,"Dec 15, 2024",NYK @ ORL,W,18,1,3,0.333,0,1,0.0,2,2,1.0,1,4,5,0,1,0,0,2,4,-4,1,1630173,Precious Achiuwa
22024,1630173,0022401202,"Dec 11, 2024",NYK vs. ATL,L,19,1,2,0.5,0,1,0.0,0,0,0.0,1,4,5,1,2,2,1,0,2,-4,1,1630173,Precious Achiuwa
22024,1630173,0022400359,"Dec 09, 2024",NYK @ TOR,W,16,3,7,0.429,0,0,0.0,1,1,1.0,2,4,6,0,0,2,0,1,7,5,1,1630173,Precious Achiuwa
22024,1630173,0022400343,"Dec 07, 2024",NYK vs. DET,L,28,2,3,0.667,0,0,0.0,2,5,0.4,1,9,10,4,1,1,1,1,6,9,1,1630173,Precious Achiuwa
22024,1630173,0022400327,"Dec 05, 2024",NYK vs. CHA,W,12,1,4,0.25,0,1,0.0,0,2,0.0,2,2,4,1,0,0,2,2,2,11,1,1630173,Precious Achiuwa
22025,1630173,0022501154,"Apr 07, 2026",SAC @ GSW,L,34,6,14,0.429,0,2,0.0,1,2,0.5,2,4,6,4,0,1,2,0,13,3,1,1630173,Precious Achiuwa
22025,1630173,0022501141,"Apr 05, 2026",SAC vs. LAC,L,20,3,6,0.5,0,0,0.0,2,6,0.333,3,2,5,0,0,0,1,3,8,-22,1,1630173,Precious Achiuwa
22025,1630173,0022501128,"Apr 03, 2026",SAC vs. NOP,W,25,6,10,0.6,0,2,0.0,0,1,0.0,3,4,7,2,2,0,3,2,12,7,1,1630173,Precious Achiuwa
22025,1630173,0022501108,"Apr 01, 2026",SAC @ TOR,W,38,12,19,0.632,1,2,0.5,3,4,0.75,11,8,19,1,0,1,2,4,28,22,1,1630173,Precious Achiuwa
22025,1630173,0022501084,"Mar 29, 2026",SAC @ BKN,L,34,7,14,0.5,0,1,0.0,2,7,0.286,4,4,8,1,1,0,3,2,16,-20,1,1630173,Precious Achiuwa
22025,1630173,0022501078,"Mar 28, 2026",SAC @ ATL,L,20,8,11,0.727,0,1,0.0,0,0,0.0,5,1,6,2,2,0,1,1,16,-1,1,1630173,Precious Achiuwa
22025,1630173,0022501065,"Mar 26, 2026",SAC @ ORL,L,34,7,12,0.583,0,1,0.0,0,0,0.0,4,5,9,2,2,2,2,1,14,2,1,1630173,Precious Achiuwa
22025,1630173,0022501033,"Mar 22, 2026",SAC vs. BKN,W,28,6,13,0.462,0,0,0.0,2,4,0.5,6,9,15,0,1,0,2,1,14,-4,1,1630173,Precious Achiuwa
22025,1630173,0022501015,"Mar 19, 2026",SAC vs. PHI,L,34,3,5,0.6,0,1,0.0,6,10,0.6,0,7,7,0,0,1,1,0,12,-7,1,1630173,Precious Achiuwa
22025,1630173,0022500998,"Mar 17, 2026",SAC vs. SAS,L,30,4,12,0.333,1,4,0.25,1,1,1.0,2,5,7,2,0,1,0,2,10,-19,1,1630173,Precious Achiuwa
22025,1630173,0022500982,"Mar 15, 2026",SAC vs. UTA,W,33,10,15,0.667,0,2,0.0,0,0,0.0,3,8,11,1,2,1,2,0,20,10,1,1630173,Precious Achiuwa
22025,1630173,0022500975,"Mar 14, 2026",SAC @ LAC,W,37,10,14,0.714,3,4,0.75,2,2,1.0,3,10,13,1,0,4,2,4,25,18,1,1630173,Precious Achiuwa
22025,1630173,0022500951,"Mar 11, 2026",SAC vs. CHA,L,30,6,11,0.545,0,1,0.0,2,2,1.0,4,4,8,2,1,1,1,3,14,-22,1,1630173,Precious Achiuwa
22025,1630173,0022500945,"Mar 10, 2026",SAC vs. IND,W,20,3,6,0.5,0,1,0.0,0,0,0.0,1,6,7,0,0,1,1,1,6,-7,1,1630173,Precious Achiuwa
22025,1630173,0022500930,"Mar 08, 2026",SAC vs. CHI,W,39,6,12,0.5,1,1,1.0,0,0,0.0,1,8,9,3,0,0,0,3,13,17,1,1630173,Precious Achiuwa
22025,1630173,0022500907,"Mar 05, 2026",SAC vs. NOP,L,41,12,16,0.75,1,3,0.333,4,6,0.667,1,11,12,5,1,2,0,2,29,-1,1,1630173,Precious Achiuwa
22025,1630173,0022500892,"Mar 03, 2026",SAC vs. PHX,L,39,8,14,0.571,0,2,0.0,2,2,1.0,3,6,9,1,1,1,0,1,18,0,1,1630173,Precious Achiuwa
22025,1630173,0022500878,"Mar 01, 2026",SAC @ LAL,L,27,4,10,0.4,0,1,0.0,0,0,0.0,5,4,9,1,1,2,0,2,8,-11,1,1630173,Precious Achiuwa
22025,1630173,0022500854,"Feb 26, 2026",SAC @ DAL,W,33,13,19,0.684,3,3,1.0,0,0,0.0,7,5,12,4,3,1,0,4,29,14,1,1630173,Precious Achiuwa
22025,1630173,0022500845,"Feb 25, 2026",SAC @ HOU,L,30,3,11,0.273,0,2,0.0,0,0,0.0,5,5,10,1,0,0,2,2,6,-14,1,1630173,Precious Achiuwa
22025,1630173,0022500829,"Feb 23, 2026",SAC @ MEM,W,33,10,15,0.667,0,0,0.0,2,3,0.667,7,5,12,0,1,1,2,0,22,7,1,1630173,Precious Achiuwa
22025,1630173,0022500815,"Feb 21, 2026",SAC @ SAS,L,21,6,9,0.667,1,1,1.0,1,2,0.5,0,3,3,4,1,0,0,1,14,6,1,1630173,Precious Achiuwa
22025,1630173,0022500800,"Feb 19, 2026",SAC vs. ORL,L,34,7,12,0.583,0,1,0.0,0,0,0.0,2,8,10,1,4,2,3,3,14,-21,1,1630173,Precious Achiuwa
22025,1630173,0022500786,"Feb 11, 2026",SAC @ UTA,L,16,3,5,0.6,0,0,0.0,0,0,0.0,1,4,5,1,1,1,1,3,6,-9,1,1630173,Precious Achiuwa
22025,1630173,0022500766,"Feb 09, 2026",SAC @ NOP,L,20,4,8,0.5,0,0,0.0,0,0,0.0,1,2,3,0,3,1,1,2,8,-9,1,1630173,Precious Achiuwa
22025,1630173,0022500756,"Feb 07, 2026",SAC vs. CLE,L,16,1,3,0.333,0,1,0.0,0,2,0.0,0,2,2,2,2,0,0,2,2,-7,1,1630173,Precious Achiuwa
22025,1630173,0022500746,"Feb 06, 2026",SAC vs. LAC,L,8,2,4,0.5,0,2,0.0,2,2,1.0,2,2,4,1,0,1,0,1,6,5,1,1630173,Precious Achiuwa
22025,1630173,0022500707,"Feb 01, 2026",SAC @ WAS,L,9,2,7,0.286,1,1,1.0,0,0,0.0,3,1,4,0,0,0,1,0,5,-11,1,1630173,Precious Achiuwa
22025,1630173,0022500689,"Jan 30, 2026",SAC @ BOS,L,13,1,5,0.2,0,0,0.0,0,0,0.0,2,1,3,0,0,0,0,1,2,-8,1,1630173,Precious Achiuwa
22025,1630173,0022500680,"Jan 29, 2026",SAC @ PHI,L,34,4,7,0.571,0,2,0.0,0,0,0.0,4,9,13,3,1,1,2,3,8,-1,1,1630173,Precious Achiuwa
22025,1630173,0022500665,"Jan 27, 2026",SAC @ NYK,L,24,3,7,0.429,0,2,0.0,0,0,0.0,2,3,5,0,2,0,2,1,6,-8,1,1630173,Precious Achiuwa
22025,1630173,0022500650,"Jan 25, 2026",SAC @ DET,L,17,2,4,0.5,0,1,0.0,0,0,0.0,2,2,4,1,0,0,1,1,4,-10,1,1630173,Precious Achiuwa
22025,1630173,0022500638,"Jan 23, 2026",SAC @ CLE,L,20,2,6,0.333,0,1,0.0,0,0,0.0,3,5,8,2,0,0,1,2,4,-22,1,1630173,Precious Achiuwa
22025,1630173,0022500626,"Jan 21, 2026",SAC vs. TOR,L,21,5,6,0.833,1,1,1.0,0,0,0.0,2,6,8,1,0,0,0,1,11,-9,1,1630173,Precious Achiuwa
22025,1630173,0022500619,"Jan 20, 2026",SAC vs. MIA,L,22,2,4,0.5,0,1,0.0,2,2,1.0,0,5,5,1,1,0,2,1,6,-9,1,1630173,Precious Achiuwa
22025,1630173,0022500606,"Jan 18, 2026",SAC vs. POR,L,18,2,3,0.667,0,1,0.0,0,0,0.0,0,3,3,2,0,1,1,3,4,-14,1,1630173,Precious Achiuwa
22025,1630173,0022500592,"Jan 16, 2026",SAC vs. WAS,W,28,7,8,0.875,1,2,0.5,1,2,0.5,4,2,6,1,0,2,1,0,16,-2,1,1630173,Precious Achiuwa
22025,1630173,0022500576,"Jan 14, 2026",SAC vs. NYK,W,39,7,14,0.5,2,4,0.5,4,7,0.571,6,8,14,2,2,2,2,1,20,16,1,1630173,Precious Achiuwa
22025,1630173,0022500562,"Jan 12, 2026",SAC vs. LAL,W,30,4,7,0.571,1,1,1.0,0,0,0.0,2,5,7,0,0,2,1,2,9,15,1,1630173,Precious Achiuwa
22025,1630173,0022500557,"Jan 11, 2026",SAC vs. HOU,W,39,4,7,0.571,0,3,0.0,2,2,1.0,3,4,7,3,3,0,1,3,10,8,1,1630173,Precious Achiuwa
22025,1630173,0022500539,"Jan 09, 2026",SAC @ GSW,L,5,0,0,0.0,0,0,0.0,1,2,0.5,0,0,0,1,0,2,0,0,1,2,1,1630173,Precious Achiuwa
22025,1630173,0022500515,"Jan 06, 2026",SAC vs. DAL,L,22,4,7,0.571,1,1,1.0,0,0,0.0,1,8,9,0,1,1,1,1,9,4,1,1630173,Precious Achiuwa
22025,1630173,0022500500,"Jan 04, 2026",SAC vs. MIL,L,15,2,3,0.667,0,0,0.0,0,0,0.0,0,3,3,0,2,0,0,2,4,-13,1,1630173,Precious Achiuwa
22025,1630173,0022500483,"Jan 02, 2026",SAC @ PHX,L,19,1,8,0.125,0,2,0.0,1,2,0.5,3,3,6,3,0,0,2,5,3,-12,1,1630173,Precious Achiuwa
22025,1630173,0022500474,"Jan 01, 2026",SAC vs. BOS,L,22,5,9,0.556,2,4,0.5,2,2,1.0,0,3,3,2,2,1,1,1,14,-7,1,1630173,Precious Achiuwa
22025,1630173,0022500461,"Dec 30, 2025",SAC @ LAC,L,17,0,4,0.0,0,0,0.0,0,0,0.0,1,2,3,2,0,1,0,2,0,-17,1,1630173,Precious Achiuwa
22025,1630173,0022500446,"Dec 28, 2025",SAC @ LAL,L,20,2,4,0.5,0,1,0.0,1,2,0.5,1,2,3,1,1,0,0,0,5,-18,1,1630173,Precious Achiuwa
22025,1630173,0022500432,"Dec 27, 2025",SAC vs. DAL,W,25,2,8,0.25,0,2,0.0,1,2,0.5,3,6,9,2,2,0,0,1,5,9,1,1630173,Precious Achiuwa
22025,1630173,0022500421,"Dec 23, 2025",SAC vs. DET,L,27,6,13,0.462,3,4,0.75,0,0,0.0,4,8,12,3,2,1,1,4,15,1,1,1630173,Precious Achiuwa
22025,1630173,0022500401,"Dec 21, 2025",SAC vs. HOU,W,18,1,2,0.5,0,0,0.0,3,8,0.375,1,0,1,2,1,0,1,1,5,-3,1,1630173,Precious Achiuwa
22025,1630173,0022500394,"Dec 20, 2025",SAC vs. POR,L,10,0,6,0.0,0,1,0.0,2,2,1.0,2,0,2,0,0,0,0,1,2,-18,1,1630173,Precious Achiuwa
22025,1630173,0022500380,"Dec 18, 2025",SAC @ POR,L,14,1,5,0.2,0,0,0.0,0,0,0.0,2,3,5,2,1,0,1,1,2,-3,1,1630173,Precious Achiuwa
22025,1630173,0022501220,"Dec 14, 2025",SAC @ MIN,L,27,7,7,1.0,1,1,1.0,2,4,0.5,1,5,6,0,0,1,0,2,17,-3,1,1630173,Precious Achiuwa
22025,1630173,0022501208,"Dec 11, 2025",SAC vs. DEN,L,10,2,4,0.5,0,0,0.0,0,0,0.0,1,5,6,0,0,0,0,4,4,2,1,1630173,Precious Achiuwa
22025,1630173,0022500364,"Dec 08, 2025",SAC @ IND,L,21,5,9,0.556,0,0,0.0,1,3,0.333,3,2,5,2,2,2,0,1,11,-4,1,1630173,Precious Achiuwa
22025,1630173,0022500354,"Dec 06, 2025",SAC @ MIA,W,16,3,5,0.6,0,0,0.0,1,2,0.5,3,7,10,1,0,0,0,0,7,7,1,1630173,Precious Achiuwa
22025,1630173,0022500330,"Dec 03, 2025",SAC @ HOU,L,19,4,8,0.5,0,1,0.0,2,4,0.5,2,2,4,0,2,0,1,2,10,-21,1,1630173,Precious Achiuwa
22025,1630173,0022500307,"Nov 30, 2025",SAC vs. MEM,L,24,5,10,0.5,1,1,1.0,0,2,0.0,3,4,7,0,0,0,0,1,11,17,1,1630173,Precious Achiuwa
22025,1630173,0022500077,"Nov 28, 2025",SAC @ UTA,L,19,1,6,0.167,0,0,0.0,0,2,0.0,2,4,6,1,0,2,0,2,2,-20,1,1630173,Precious Achiuwa
22025,1630173,0022500068,"Nov 26, 2025",SAC vs. PHX,L,25,6,7,0.857,1,1,1.0,1,2,0.5,2,3,5,3,1,0,0,4,14,5,1,1630173,Precious Achiuwa
22025,1630173,0022500292,"Nov 24, 2025",SAC vs. MIN,W,34,5,8,0.625,0,1,0.0,0,0,0.0,1,7,8,0,1,1,2,4,10,19,1,1630173,Precious Achiuwa
22025,1630173,0022500274,"Nov 22, 2025",SAC @ DEN,W,24,3,4,0.75,0,0,0.0,1,1,1.0,2,2,4,0,1,0,0,3,7,5,1,1630173,Precious Achiuwa
22025,1630173,0022500265,"Nov 20, 2025",SAC @ MEM,L,24,1,3,0.333,0,2,0.0,0,0,0.0,0,5,5,2,0,0,0,1,2,-25,1,1630173,Precious Achiuwa
22025,1630173,0022500261,"Nov 19, 2025",SAC @ OKC,L,26,6,12,0.5,1,1,1.0,2,4,0.5,5,4,9,3,1,0,2,2,15,-6,1,1630173,Precious Achiuwa
22025,1630173,0022500234,"Nov 16, 2025",SAC @ SAS,L,5,0,2,0.0,0,2,0.0,1,2,0.5,0,1,1,0,0,0,0,0,1,3,1,1630173,Precious Achiuwa
22025,1630173,0022500044,"Nov 14, 2025",SAC @ MIN,L,20,2,4,0.5,0,1,0.0,0,1,0.0,1,2,3,0,3,1,0,3,4,-14,1,1630173,Precious Achiuwa
22025,1630173,0022500223,"Nov 12, 2025",SAC vs. ATL,L,20,4,6,0.667,0,0,0.0,2,4,0.5,2,3,5,2,0,0,0,0,10,-14,1,1630173,Precious Achiuwa
22025,1630173,0022500212,"Nov 11, 2025",SAC vs. DEN,L,18,3,5,0.6,0,2,0.0,0,0,0.0,2,1,3,3,1,0,1,1,6,-13,1,1630173,Precious Achiuwa
22025,1630173,0022500197,"Nov 09, 2025",SAC vs. MIN,L,29,5,7,0.714,0,1,0.0,2,3,0.667,4,6,10,0,0,1,1,3,12,-10,1,1630173,Precious Achiuwa
22025,1630173,0022500038,"Nov 07, 2025",SAC vs. OKC,L,17,1,5,0.2,0,2,0.0,2,3,0.667,0,4,4,0,1,0,0,0,4,2,1,1630173,Precious Achiuwa
22025,1630173,0022500181,"Nov 05, 2025",SAC vs. GSW,W,9,2,2,1.0,0,0,0.0,0,0,0.0,1,2,3,0,0,1,1,0,4,5,1,1630173,Precious Achiuwa
22024,203500,0022401193,"Apr 13, 2025",HOU vs. DEN,L,17,2,4,0.5,0,0,0.0,0,0,0.0,2,4,6,1,0,0,1,2,4,-23,1,203500,Steven Adams
22024,203500,0022401143,"Apr 06, 2025",HOU @ GSW,W,17,1,2,0.5,0,0,0.0,0,0,0.0,2,6,8,1,0,2,0,1,2,7,1,203500,Steven Adams
22024,203500,0022401123,"Apr 04, 2025",HOU vs. OKC,W,23,4,7,0.571,0,0,0.0,0,0,0.0,6,6,12,0,2,1,0,2,8,7,1,203500,Steven Adams
22024,203500,0022401096,"Mar 31, 2025",HOU @ LAL,L,16,1,2,0.5,0,1,0.0,2,2,1.0,2,5,7,0,1,0,3,0,4,-3,1,203500,Steven Adams
22024,203500,0022401088,"Mar 30, 2025",HOU @ PHX,W,12,2,2,1.0,0,0,0.0,2,2,1.0,2,1,3,0,0,0,0,1,6,21,1,203500,Steven Adams
22024,203500,0022401049,"Mar 25, 2025",HOU vs. ATL,W,25,2,2,1.0,0,0,0.0,3,4,0.75,4,3,7,1,0,0,1,2,7,19,1,203500,Steven Adams
22024,203500,0022401035,"Mar 23, 2025",HOU vs. DEN,L,22,6,10,0.6,0,0,0.0,2,4,0.5,10,2,12,2,0,3,1,3,14,9,1,203500,Steven Adams
22024,203500,0022401015,"Mar 21, 2025",HOU @ MIA,W,20,2,2,1.0,0,0,0.0,0,2,0.0,4,4,8,1,1,0,1,2,4,7,1,203500,Steven Adams
22024,203500,0022400999,"Mar 19, 2025",HOU @ ORL,W,23,1,2,0.5,0,0,0.0,1,1,1.0,1,5,6,0,1,1,4,1,3,22,1,203500,Steven Adams
22024,203500,0022400985,"Mar 17, 2025",HOU vs. PHI,W,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,2,1,203500,Steven Adams
22024,203500,0022400970,"Mar 15, 2025",HOU vs. CHI,W,22,2,4,0.5,0,0,0.0,0,4,0.0,4,5,9,3,1,0,1,1,4,3,1,203500,Steven Adams
22024,203500,0022400949,"Mar 12, 2025",HOU vs. PHX,W,11,0,1,0.0,0,0,0.0,1,2,0.5,2,2,4,1,0,0,0,1,1,1,1,203500,Steven Adams
22024,203500,0022400934,"Mar 10, 2025",HOU vs. ORL,W,23,5,6,0.833,0,0,0.0,1,3,0.333,11,6,17,1,0,0,3,0,11,17,1,203500,Steven Adams
